CustomerID,Churn Probability
2137-DQMEV,0.09189338328164239
4636-TVXVG,0.02626940176903204
2480-JZOSN,0.5563991904725842
9050-IKDZA,0.8159059766739335
9397-TZSHA,0.0546076856435651
9089-UOWJG,0.3332856934287063
9950-MTGYX,0.02960578506677945
0430-IHCDJ,0.5719657209654416
7188-CBBBA,0.4531876750872331
3055-VTCGS,0.16339485519386543
5712-VBOXD,0.3467533887920933
0603-TPMIB,0.019356369401852522
3620-MWJNE,0.5909139245235466
3312-ZWLGF,0.6918070541649218
4923-ADWXJ,0.3653622071462265
9629-NHXFW,0.4551544270904923
2481-SBOYW,0.030098423163705465
9866-OCCKE,0.19170350342097497
5133-VRSAB,0.4464861068866396
2709-UQGNP,0.46208141263292773
7776-QGYJC,0.33733357023015853
4821-WQOYN,0.018347311514410714
6265-FRMTQ,0.07066619228250681
9921-QFQUL,0.6357295184749499
0253-ZTEOB,0.09136741328106975
0895-UADGO,0.2121074071621206
2853-CWQFQ,0.5798796859006333
9069-LGEUL,0.38866008154186005
2466-FCCPT,0.040911169664113185
6377-WHAOX,0.648573203376481
4707-YNOQA,0.047118763800594606
4724-WXVWF,0.567096736509268
0270-THENM,0.03808226097200821
4937-QPZPO,0.19511006876472578
1134-YWTYF,0.3914778757247489
7100-FQPRV,0.23861637167347535
3957-SQXML,0.07578711488186061
9548-ZMVTX,0.07756033016299692
1047-RNXZV,0.06083635613011002
2550-QHZGP,0.11341422092555793
6718-BDGHG,0.22661192063521235
8080-POTJR,0.2945748923022294
9640-ZSLDC,0.08457869377986388
5882-CMAZQ,0.48677185257975664
0308-IVGOK,0.2743971423626852
5651-YLPRD,0.46346098819762915
0707-HOVVN,0.1326123288567349
1734-ZMNTZ,0.04459099313136275
9297-EONCV,0.097715075512899
6285-FTQBF,0.020516986339225527
1696-HXOWK,0.28923560815260685
6908-VVYHM,0.6130432663956303
4159-NAAIX,0.3574284205664642
7041-TXQJH,0.4178609145711135
6689-VRRTK,0.42939468642737644
0487-CRLZF,0.17239243774891388
6614-YOLAC,0.09177810123819319
1656-DRSMG,0.46820275241323955
3638-WEABW,0.11669722512160108
9522-ZSINC,0.1952477456660004
8350-NYMVI,0.32771326589847305
4957-TREIR,0.5501285932013148
0848-ZGQIJ,0.7272334314229505
0928-XUTSN,0.790448520217312
7096-UCLNH,0.5493744899441961
6234-PFPXL,0.5436668790242802
7602-DBTOU,0.043022565870416314
9609-BENEA,0.2907988849347045
0019-GFNTW,0.10564334934924964
5055-BRMNE,0.11294309637842098
8654-DHAOW,0.6703654561219623
0899-WZRSD,0.48793021690784166
5220-AGAAX,0.020487143690716404
5440-VHLUL,0.4061451037377267
8896-BQTTI,0.5297811777315043
5862-BRIXZ,0.15765377540616626
4851-BQDNX,0.2298459692545465
4109-CYRBD,0.4341953691068092
2749-CTKAJ,0.06980522997217396
7868-BGSZA,0.2987024623165713
8564-LDKFL,0.49447237320507353
9730-DRTMJ,0.2145351892624926
3724-BSCVH,0.04359323509198962
8161-QYMTT,0.8470978230891029
2921-XWDJH,0.6691000284688741
3987-KQDDU,0.7119698815792448
4146-SVFUD,0.6558584257880529
8780-IHCRN,0.0183214929910432
7941-RCJOW,0.060358449811146714
5302-BDJNT,0.6385442530627661
6893-ODYYE,0.2572894653506614
4468-YDOVK,0.5595088891557451
9588-OZDMQ,0.7496111487101811
8189-XRIKE,0.709790418471818
4012-YCFAI,0.08747890980974775
4615-PIVVU,0.17460254094899738
4670-TABXH,0.21986753112958904
1197-BVMVG,0.8569707718174918
8092-NLTGF,0.054502338312357505
4323-ELYYB,0.04111548902413898
0691-NIKRI,0.4633912343334424
3721-WKIIL,0.07689182735961955
2525-GVKQU,0.057615118598984195
7055-JCGNI,0.24988957430243824
5306-BVTKJ,0.11484242693602628
3070-FNFZQ,0.02822563888434866
1897-RCFUM,0.039715022647125967
9547-ITEFG,0.5451403499203952
9631-XEYKE,0.6774281510785565
0376-OIWME,0.671021097972556
5811-IWXYM,0.15875510699938844
1574-DYCWE,0.019364904382878134
0562-KBDVM,0.10559648746839462
5702-KVQRD,0.1430206568049138
0020-JDNXP,0.11583438608012657
3521-MNKLV,0.3899852160554144
8571-ZCMCX,0.0911334787826582
6258-PVZWJ,0.11011159013248621
2000-DHJUY,0.1227658989534077
1360-XFJMR,0.3553502891831769
1985-MBRYP,0.07993316393266384
2057-BOYKM,0.18046460336619924
9351-LZYGF,0.2922873080079244
1092-WPIVQ,0.03339260749479165
4238-JSSWH,0.6472605676193852
4656-CAURT,0.054561190562698654
0931-MHTEM,0.4070302082408933
7047-YXDMZ,0.18996578926816757
5025-GOOKI,0.24704116702284867
8464-EETCQ,0.06921798017720941
5044-LRQAQ,0.7391779927419186
4193-IBKSW,0.01589830104206509
2452-SNHFZ,0.50979374766829
2984-RGEYA,0.04935816897928129
9967-ATRFS,0.2070435074177652
0082-LDZUE,0.7003255857043672
3148-AOIQT,0.06534910271544339
6855-VLGOS,0.03391438428424462
0973-KYVNF,0.10300726233996851
3597-YASZG,0.3143196929102049
6128-DAFVY,0.40213026939378266
5924-IFQTT,0.36008532503983126
9070-BCKQP,0.19291569596191124
2107-FBPTK,0.757403571760323
9633-XQABV,0.8455634424853128
1187-WILMM,0.11035833836662758
0599-XNYDO,0.6759953364399233
9916-AYHTC,0.0634543600668153
7365-BVCJH,0.7509527689747716
6402-EJMWF,0.6389939496022153
9512-PHSMG,0.2936834556509248
2874-YXVVA,0.6481918181715003
6726-WEXXK,0.4183852188917186
2227-JRSJX,0.6438070175348382
2335-GSODA,0.08354517491500232
6075-QMNRR,0.3487293169354022
