,CustomerID,combined
4363,7577-SWIFR,0.8908538073515754
2031,5150-ITWWB,0.8868424355354959
921,2545-EBUPK,0.8830488367136102
4840,3318-NMQXL,0.8822486130850994
2889,6350-XFYGW,0.8805355219308595
1709,0187-QSXOE,0.8780285003261394
2504,4912-PIGUY,0.8752516563380146
3510,4847-TAJYI,0.8746244654106778
4246,6630-UJZMY,0.8741310642114501
3884,2789-HQBOU,0.8740220626007015
2573,7439-DKZTW,0.8738714300764895
83,8161-QYMTT,0.8730189037665705
3072,4115-NZRKS,0.8727111243583483
2731,7398-SKNQZ,0.8722376966984378
1814,4927-WWOOZ,0.8720367846887206
705,3489-HHPFY,0.870576208136832
4084,9605-WGJVW,0.8696779547475105
3390,3878-AVSOQ,0.8689661543656827
4214,9603-OAIHC,0.8684348128817838
2568,0021-IKXGC,0.867278655186668
4329,5542-TBBWB,0.8661006260060963
4724,8087-LGYHQ,0.8656122062485029
1706,1640-PLFMP,0.8656056065830725
4218,7363-QTBIW,0.8653023869284713
1135,4234-XTNEA,0.8648027210494162
191,1452-VOQCH,0.8647815568030337
1108,7465-ZZRVX,0.8645837214937836
5035,6357-JJPQT,0.8638089143547317
820,1628-BIZYP,0.8631565198666321
466,2880-FPNAE,0.8631180332521744
4102,9799-CAYJJ,0.863088823934511
5006,7044-YAACC,0.8595414118465619
4887,7225-CBZPL,0.8594191121053556
1438,7668-XCFYV,0.8589671170455964
3776,7321-VGNKU,0.8586897221644555
2275,8739-XNIKG,0.8581235072165337
2472,9290-SHCMB,0.8581230804472839
549,3320-VEOYC,0.8574916943919877
97,1197-BVMVG,0.8574717739927206
348,2688-BHGOG,0.857216021638883
4686,3452-GWUIN,0.8571767218750694
3808,8775-ERLNB,0.8560171485897963
2811,4090-KPJIP,0.8554620394675019
1330,4749-OJKQU,0.8554022787247348
4628,9957-YODKZ,0.8552652414718264
4146,8622-ZLFKO,0.8549069723785854
354,9717-QEBGU,0.8539316570633362
4523,4482-EWFMI,0.8537362016029395
4716,2799-ARNLO,0.8537096713561217
2520,6229-LSCKB,0.8534220312379556
4666,3096-GKWEB,0.8533565680303892
2074,9402-ORRAH,0.8533155369341046
1795,2123-AGEEN,0.8532759951292426
2089,1393-IMKZG,0.8532478657617106
4522,5935-FCCNB,0.8531408926684291
144,9633-XQABV,0.8530312662352039
4111,6077-BDPXA,0.8530003303127024
4377,7245-NIIWQ,0.8529388040773476
4831,0644-OQMDK,0.8529143197442172
1309,7394-LWLYN,0.8528412777170599
3727,4060-LDNLU,0.8522468392686625
3499,4395-PZMSN,0.8518262595174112
3864,2897-DOVND,0.8518050317724094
865,6986-IXNDM,0.8514910882205148
3514,2077-MPJQO,0.8510253096982896
2601,6969-MVBAI,0.85099111963298
363,9334-GWGOW,0.8508120620379949
